Variables,Adjusted R²,AIC
"transportation_area_norm, retail_count_norm, entropy_production, entropy_landuse",0.04801674890899388,1051.7186638359049
"farming_area_norm, aquaculture_area_norm, energy_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04788267855165307,1055.6953452854495
"farming_area_norm, aquaculture_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04780752543465083,1054.7481368456656
"transportation_area_norm, public_services_norm, entropy_production, entropy_landuse",0.04779338111796261,1051.8066413252736
"farming_area_norm, transportation_area_norm, built_area_norm, entropy_landuse",0.04770964705527769,1051.8396161989454
"energy_area_norm, transportation_area_norm, public_services_norm, built_area_norm, entropy_production, entropy_landuse",0.04769434175273102,1053.8131178857361
"farming_area_norm, energy_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04768396370478056,1054.7967957500518
"transportation_area_norm, retail_count_norm, built_area_norm, entropy_landuse",0.04765283092436501,1051.8619890114646
"farming_area_norm, transportation_area_norm, public_services_norm, built_area_norm, entropy_production, entropy_landuse",0.0476156847407575,1053.844090253856
"transportation_area_norm, public_services_norm, road_length_norm, entropy_production, entropy_landuse",0.047613599891326186,1052.8625508613711
"farming_area_norm, pasture_area_norm, energy_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.047580621315830074,1055.8142943866935
"farming_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04750856392048419,1053.8862665560287
"energy_area_norm, transportation_area_norm, public_services_norm, road_length_norm, entropy_production, entropy_landuse",0.047507181053850656,1053.886810996211
"farming_area_norm, pasture_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04748858966283409,1054.8737216323582
"pasture_area_norm, energy_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_landuse",0.04748323714366487,1053.8962376850905
"energy_area_norm, transportation_area_norm, retail_count_norm, entropy_production, entropy_landuse",0.047476322767034396,1052.9165995246765
"transportation_area_norm, retail_count_norm, public_services_norm, entropy_production, entropy_landuse",0.04746878820050349,1052.9195658039846
"transportation_area_norm, public_services_norm, built_area_norm, entropy_landuse",0.04740159914797881,1051.9609019863847
"pasture_area_norm, energy_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.047375896304730714,1055.8948929453804
"energy_area_norm, transportation_area_norm, public_services_norm, entropy_production, entropy_landuse",0.04737132723866244,1052.9579330413158
"pasture_area_norm, transportation_area_norm, built_area_norm, entropy_landuse",0.04736884952099829,1051.9737939868369
"aquaculture_area_norm, energy_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.047348393579450754,1055.9057192230955
"farming_area_norm, energy_area_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.047333887913521444,1053.955030950719
"farming_area_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04733157529855925,1052.9735809710382
"farming_area_norm, transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, entropy_production, entropy_landuse",0.04732882377645886,1054.9366155596426
"farming_area_norm, energy_area_norm, transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, entropy_production, entropy_landuse",0.047243424169462256,1055.9470369094076
"transportation_area_norm, retail_count_norm, road_length_norm, entropy_production, entropy_landuse",0.04724045564001955,1053.0094467949193
"aquaculture_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.04717296766363166,1054.9979601908553
"pasture_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.047172061237617524,1054.9983169288384
"pasture_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_landuse",0.04715445141817243,1053.0432959731506
"farming_area_norm, energy_area_norm, transportation_area_norm, built_area_norm, entropy_landuse",0.04715250088483558,1053.0440636203875
"pasture_area_norm, transportation_area_norm, built_area_norm, entropy_production, entropy_landuse",0.047149922362387575,1053.0450784151062
"aquaculture_area_norm, transportation_area_norm, built_area_norm, entropy_production, entropy_landuse",0.047111985697736225,1053.0600083252614
